company,ticker,depends_on,dependency_type,supplier_name,supplier_listed,supplier_ticker,country,tier,confidence,source,date_added
Tesla,TSLA,Planetary roller screws,component,SKF,Y,SKFB.ST,SE,1,REPORTED,"[T-C1] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || Trade press (Fast Company, IntelMarketResearch, KGG) — secondary; strong candidate for primary verification",2026-08-04
Tesla,TSLA,Planetary roller screws,component,Rollvis,,,CH,1,REPORTED,"[T-C1] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || Trade press (Fast Company, IntelMarketResearch, KGG) — secondary; strong candidate for primary verification",2026-08-04
Tesla,TSLA,Planetary roller screws,component,Ewellix,,,SE,1,REPORTED,"[T-C1] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || Trade press (Fast Company, IntelMarketResearch, KGG) — secondary; strong candidate for primary verification",2026-08-04
Tesla,TSLA,Planetary roller screws,component,GSA,,,CH,1,REPORTED,"[T-C1] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || Trade press (Fast Company, IntelMarketResearch, KGG) — secondary; strong candidate for primary verification",2026-08-04
Tesla,TSLA,Planetary roller screws,component,Bosch Rexroth,,,DE,1,REPORTED,"[T-C1] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || Trade press (Fast Company, IntelMarketResearch, KGG) — secondary; strong candidate for primary verification",2026-08-04
Tesla,TSLA,Planetary roller screws,component,Rollvis SA,N,,Switzerland,1,REPORTED,"[T-C1] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || Trade press (Fast Company, IntelMarketResearch, KGG) — secondary; strong candidate for primary verification",2026-08-04
Tesla,TSLA,Planetary roller screws,component,Ewellix,N,,SE,1,REPORTED,"[T-C1] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || Trade press (Fast Company, IntelMarketResearch, KGG) — secondary; strong candidate for primary verification",2026-08-04
Tesla,TSLA,Planetary roller screws,component,Bosch Rexroth,N,,DE,1,REPORTED,"[T-C1] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || Trade press (Fast Company, IntelMarketResearch, KGG) — secondary; strong candidate for primary verification",2026-08-04
Tesla,TSLA,Planetary roller screws,component,GSA,N,,CH,1,REPORTED,"[T-C1] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || Trade press (Fast Company, IntelMarketResearch, KGG) — secondary; strong candidate for primary verification",2026-08-04
Tesla,TSLA,Planetary roller screws,component,Rexroth,N,,Switzerland,1,REPORTED,"[T-C1] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || Trade press (Fast Company, IntelMarketResearch, KGG) — secondary; strong candidate for primary verification",2026-08-04
Tesla,TSLA,Planetary roller screws,component,Ewellix,N,,SE,1,REPORTED,"[T-C1] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || Trade press (Fast Company, IntelMarketResearch, KGG) — secondary; strong candidate for primary verification",2026-08-04
Sanhua Intelligent Controls,002050.SZ,Planetary roller screws / precision screws,component,Domestic Chinese makers,,,China,1,INFERRED,"[SI-C2] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || Analyst hypothesis",2026-08-04
Sanhua Intelligent Controls,002050.SZ,Planetary roller screws / precision screws,component,SKF,Y,SKFB.ST,SE,1,INFERRED,"[SI-C2] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || Analyst hypothesis",2026-08-04
Sanhua Intelligent Controls,002050.SZ,Planetary roller screws / precision screws,component,Rollvis,,,CH,1,INFERRED,"[SI-C2] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || Analyst hypothesis",2026-08-04
Sanhua Intelligent Controls,002050.SZ,Planetary roller screws / precision screws,component,Ewellix imports,,,China,1,INFERRED,"[SI-C2] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || Analyst hypothesis",2026-08-04
Tuopu Group,601689.SH,Planetary roller screws,component,Domestic Chinese,,,Switzerland,1,REPORTED,"[TG-C1] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || Trade press (secondary)",2026-08-04
Tuopu Group,601689.SH,Planetary roller screws,component,Rollvis,,,CH,1,REPORTED,"[TG-C1] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || Trade press (secondary)",2026-08-04
Tuopu Group,601689.SH,Planetary roller screws,component,Ewellix,,,SE,1,REPORTED,"[TG-C1] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || Trade press (secondary)",2026-08-04
